MACRO_NAME,FILE_LOCATION,LINE_NUMBERADC_H_INCLUDED,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/EB/swp_ar4x_tv2/modules/em_adc/tresos/eclipse/plugins/adc/include/Adc.h,26
CANSM_APPL_CODE,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,190
CANSM_VAR_NOINIT,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,192
CANSM_VAR_ZERO_INIT,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,193
CANSM_APPL_VAR,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,195
CANSM_CONST_FAST,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,200
CANSM_VAR_NOINIT_FAST,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,202
CANSM_VAR_ZERO_INIT_FAST,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,203
_CDD_CODE,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,218
_CDD_APPL_DATA,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,219
RS_CODE,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,222
RS_APPL_DATA,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,223
UR_CODE,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,225
UR_APPL_DATA,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,226
DCM_CODE,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,235
DCM_CONST,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,239
